mode,topk,nll,ppl
dense,1024,1.4717896468937397,4.357025705323327
tri,32,8.164160311222076,3512.7704644124333
random,32,8.105275392532349,3311.8936104228646
tri,64,7.546714544296265,1894.5081725829782
random,64,7.632474645972252,2064.151749559526
tri,128,6.953594624996185,1046.9062077908452
random,128,7.142598077654839,1264.709939024092
tri,256,6.282434493303299,535.0897518554666
random,256,6.36092634499073,578.7822601869548
tri,512,4.528233267366886,92.594826185729
random,512,5.040459498763084,154.54101011655789
